Date/Time of Report: 3/18/2025 13:04:50,,,,,,,,
Requester: STN07 - Mngr,,,,,,,,
Filter Applied: Event Time: Before 2/9/2025 4:10:50 AM,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: VCMA,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
4:10:38,VCMSVR,File Replication,REPLICATION,,J 00,Filerep #11 replicating.,,
4:10:38,VCMSVR,File Replication,REPLICATION,,J 00,Filerep #2 replicating.,,
4:10:31,Unassigned Items,VCM_C300_02_AutoCpTsk,CHECKPOINT,,,Task Completed,,
4:10:31,Controllers,VCM_C300_02,CHECKPOINT,,,Save Succeeded,,
4:10:19,U200,FIC_203,CHANGE,,,PIDA.SP,2953.49,Kg/Hr
4:09:32,U200,FIC_208,CHANGE,,,PIDA.SP,9303.79,Kg/hr
4:09:32,U200,FIC_208,CHANGE,,,PIDA.SP,9327.09,Kg/hr
4:09:30,U200,FIC_208,CHANGE,,,PIDA.SP,9350.38,Kg/hr
4:09:29,U200,FIC_208,CHANGE,,,PIDA.SP,9373.67,Kg/hr
4:09:15,U200,FIC_227,CHANGE,,,pida.mode,AUTO,
4:09:04,U200,FIC_215,CHANGE,,,PIDA.SP,7641.99,Kg/h
4:09:03,U200,FIC_215,CHANGE,,,PIDA.SP,7741.34,Kg/h
4:09:02,U200,FIC_215,CHANGE,,,PIDA.SP,7840.69,Kg/h
4:09:03,U200,FIC_215,CHANGE,,,PIDA.SP,7940.04,Kg/h
4:09:01,U200,FIC_215,CHANGE,,,PIDA.SP,8039.39,Kg/h
4:09:01,U200,FIC_215,CHANGE,,,PIDA.SP,8138.74,Kg/h
4:09:02,U200,FIC_215,CHANGE,,,PIDA.SP,8238.09,Kg/h
4:09:02,U200,FIC_215,CHANGE,,,PIDA.SP,8337.44,Kg/h
4:08:59,U200,FIC_215,CHANGE,,,pida.mode,AUTO,
4:08:46,U200,PIC_228,CHANGE,,,PIDA.SP,285.003,KPa
4:08:46,U200,PIC_228,CHANGE,,,PIDA.SP,284.503,KPa
4:08:46,U200,PIC_228,CHANGE,,,PIDA.SP,284.003,KPa
4:08:46,U200,PIC_228,CHANGE,,,PIDA.SP,283.503,KPa
4:06:33,U300,PIC_300,PVLOW,OK,L 00,MS-312 Pressure,492.315,KPaG
4:04:49,U200,FIC_208,CHANGE,,,PIDA.SP,9396.96,Kg/hr
4:04:48,U200,FIC_208,CHANGE,,,PIDA.SP,9420.25,Kg/hr
4:04:48,U200,FIC_208,CHANGE,,,PIDA.SP,9443.55,Kg/hr
4:04:46,U200,FIC_208,CHANGE,,,PIDA.SP,9466.84,Kg/hr
4:04:46,U200,FIC_208,CHANGE,,,PIDA.SP,9490.13,Kg/hr
4:04:17,EVCM_APC,TI_330C_MEDCV1,OFFNRM,OK,H 00,Engineering LOW limit reached,OFF,
4:04:12,EVCM_APC,TI_330C_MEDCV1,OFFNRM,,H 00,Engineering LOW limit reached,ON,
4:04:02,EVCM_APC,TI_330C_MEDCV1,OFFNRM,OK,H 00,Engineering LOW limit reached,OFF,
4:03:27,EVCM_APC,TI_330C_MEDCV1,OFFNRM,,H 00,Engineering LOW limit reached,ON,
4:03:17,EVCM_APC,TI_330C_MEDCV1,OFFNRM,OK,H 00,Engineering LOW limit reached,OFF,
4:03:12,EVCM_APC,TI_330C_MEDCV1,OFFNRM,,H 00,Engineering LOW limit reached,ON,
4:03:11,U400,HV_412_1,OFFNRM,OK,J 00,,ALRAM,
4:02:57,EVCM_APC,TI_330C_MEDCV1,OFFNRM,OK,H 00,Engineering LOW limit reached,OFF,
4:02:52,EVCM_APC,TI_330C_MEDCV1,OFFNRM,,H 00,Engineering LOW limit reached,ON,
4:02:44,U300,SOP_PP304A,PVHIGH,ACK,,PP-304A SOP DP,,
4:02:39,U300,SOP_PP304B,PVHIGH,ACK,,PP-304B SOP DP,,
4:02:37,U300,SOP_PP304B,PVHIGH,,L 00,PP-304B SOP DP,408.537,kPaG
4:02:32,EVCM_APC,TI_330C_MEDCV1,OFFNRM,OK,H 00,Engineering LOW limit reached,OFF,
4:02:27,EVCM_APC,TI_330C_MEDCV1,OFFNRM,,H 00,Engineering LOW limit reached,ON,
4:02:25,U300,SOP_PP304A,PVHIGH,,L 00,PP-304A SOP DP,386.562,kPaG
4:02:22,U300,SOP_PP305T,PVHIGH,OK,L 00,PP-305T SOP DP,339.818,kPaG
4:01:45,U300,SOP_PP304S,PVHIGH,ACK,,PP-304S SOP DP,,
4:01:43,U300,SOP_PP305T,PVHIGH,ACK,,PP-305T SOP DP,,
4:01:36,U400,HV_412_1,OFFNRM,,J 00,,NORMAL,
4:01:08,U300,SOP_PP305S,PVLOW,OK,L 00,PP-305S SOP DP,162.794,kPaG
4:01:07,EVCM_APC,TI_330C_MEDCV1,OFFNRM,OK,H 00,Engineering LOW limit reached,OFF,
4:01:02,EVCM_APC,TI_330C_MEDCV1,OFFNRM,,H 00,Engineering LOW limit reached,ON,
4:00:55,U300,SOP_PP305B,PVLOW,OK,L 00,PP-305B SOP DP,175.04,kPaG
4:00:53,U300,SOP_PP305B,BAD PV,OK,L 00,PP-305B SOP DP,-33.7487,kPaG
4:00:45,U400,HV_412_1,OFFNRM,OK,J 00,,ALRAM,
4:00:36,U300,SOP_PP305T,PVHIGH,,L 00,PP-305T SOP DP,384.289,kPaG
4:00:33,U400,HV_412_1,OFFNRM,,J 00,,NORMAL,
4:00:29,U300,SOP_PP305T,PVLOW,OK,L 00,PP-305T SOP DP,161.337,kPaG
4:00:14,VCMSVR,File Replication,REPLICATION,,J 00,Filerep #11 replicating.,,
4:00:08,U300,SOP_PP304S,PVHIGH,,L 00,PP-304S SOP DP,355.613,kPaG
4:00:08,VCMSVR,Filerep #11,FILREP,,,Replicate Now,,
4:00:08,VCMSVR,File Replication,REPLICATION,,J 00,Filerep #11 replicating.,,
4:00:02,Unassigned Items,VCM_C300_02_AutoCpTsk,CHECKPOINT,,,Task Started,,
3:59:10,U200,PIC_203,CHANGE,,,PIDA.SP,497.056,KPa
3:59:08,U200,PIC_203,CHANGE,,,PIDA.SP,498.056,KPa
3:59:07,U200,PIC_203,CHANGE,,,PIDA.SP,499.056,KPa
3:58:47,EVCM_APC,TI_330C_MEDCV1,OFFNRM,OK,H 00,Engineering LOW limit reached,OFF,
3:58:37,EVCM_APC,TI_330C_MEDCV1,OFFNRM,,H 00,Engineering LOW limit reached,ON,
3:58:24,U200,PIC_202,CHANGE,,,PIDA.SP,645.285,KPa
3:58:20,U200,PIC_202,CHANGE,,,PIDA.SP,643.905,KPa
3:58:19,U200,PIC_202,CHANGE,,,PIDA.SP,642.525,KPa
3:57:52,EVCM_APC,TI_330C_MEDCV1,OFFNRM,OK,H 00,Engineering LOW limit reached,OFF,
3:57:47,EVCM_APC,TI_330C_MEDCV1,OFFNRM,,H 00,Engineering LOW limit reached,ON,
3:54:55,EVCM_APC,FIC_202_TGTCV1,CHANGE,,,ULIMIT.PV,7500,
3:54:50,EVCM_APC,FIC_202_TGTCV1,CHANGE,,,LLIMIT.PV,7500,
3:54:35,U200,FIC_208,CHANGE,,,PIDA.SP,9513.42,Kg/hr
3:54:32,U200,FIC_208,CHANGE,,,PIDA.SP,9536.71,Kg/hr
3:54:31,U200,FIC_208,CHANGE,,,PIDA.SP,9560.01,Kg/hr
3:54:30,U200,FIC_208,CHANGE,,,PIDA.SP,9583.3,Kg/hr
3:54:29,U200,FIC_208,CHANGE,,,PIDA.SP,9606.59,Kg/hr
3:54:29,U200,FIC_208,CHANGE,,,PIDA.SP,9629.88,Kg/hr
3:54:24,U200,FIC_208,CHANGE,,,PIDA.SP,9653.17,Kg/hr
3:54:20,U200,FIC_203,CHANGE,,,PIDA.SP,2960.99,Kg/Hr
3:54:15,U200,FIC_202,CHANGE,,,PIDA.SP,7500,Kg/Hr
3:54:07,EVCM_APC,TI_330C_MEDCV1,OFFNRM,OK,H 00,Engineering LOW limit reached,OFF,
3:54:05,U600,PP691,OFFNRM,ACK,,,,
3:54:02,EVCM_APC,TI_330C_MEDCV1,OFFNRM,,H 00,Engineering LOW limit reached,ON,
3:54:02,U200,FIC_203,PVLOW,ACK,,Flow measurement of ethylene,,
