Date/Time of Report: 3/18/2025 13:07:07,,,,,,,,
Requester: STN07 - Mngr,,,,,,,,
Filter Applied: Event Time: Before 2/1/2025 6:03:51 PM,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: VCMA,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
18:03:50,VCM_C300_01,IOLINK_0102,Periodic Cable Swap ENABLED,,J 00,,,
18:03:50,VCM_C300_02,IOLINK_0202,RCVBGN,,J 00,,,
18:03:50,VCM_C300_01,IOLINK_0101,Periodic Cable Swap ENABLED,,J 00,,,
18:03:50,VCM_C300_02,IOLINK_0201,RCVBGN,,J 00,,,
18:03:50,CStn02,CONSOLE STATION 2,COMMS,OK,U 00,Console Station is not available,,
18:03:51,VCMSVR,Filerep,FILREP,,,Replicate To Console Stations,,
18:03:51,VCM_C300_03,IOLINK_0301,RCVBGN,,J 00,,,
18:03:50,VCM_C300_04,IOLINK_0402,RCVBGN,,J 00,,,
18:03:50,VCM_C300_01,IOLINK_0102,RCVBGN,,J 00,,,
18:03:51,VCM_C300_01,IOLINK_0101,RCVBGN,,J 00,,,
18:03:50,Controllers,VCM_C300_03,CHECKPOINT,,L 00,Checkpoint Save Status: Complete with Stale Data,,
18:03:50,Controllers,VCM_C300_02,CHECKPOINT,OK,L 00,Checkpoint Save Status: Complete,,
18:03:50,Controllers,VCM_C300_01,CHECKPOINT,OK,L 00,Checkpoint Save Status: Complete,,
18:03:51,VCM_C300_03,IOLINK_0302,RCVBGN,,J 00,,,
18:03:50,STN2,STATION 2,COMMS,,U 00,Station Failure,ONLINE,
18:03:49,STN4,STATION 4,COMMS,,U 00,Station Failure,ONLINE,
18:03:49,Server Location 0,Redundant,COMMS,,U 00,[VCMSVR] Server B,Down,
18:03:49,CStn01,CONSOLE STATION 1,COMMS,OK,U 00,Console Station is not available,,
18:03:49,VCMSVR,Filerep,FILREP,,,Replicate To Console Stations,,
18:03:46,SYSMGT,SYSMGT,COMMS,OK,J 00,Server: Notification Link to SYSMGT,OK,
18:03:46,SYSMGT,SYSMGT,COMMS,OK,J 00,Server: Data Link to SYSMGT,OK,
