Date/Time of Report: 3/18/2025 11:46:22,,,,,,,,
Requester: STN07 - Mngr,,,,,,,,
Filter Applied: Event Time: Before 2/20/2025 9:30:43 PM,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: VCMA,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
21:30:43,U800,LIA_MF801_1,PVHIGH,,L 00,MF-801 interface,77.8166,%
21:30:36,U800,LIA_MF801_1,PVHIGH,OK,L 00,MF-801 interface,66.704,%
21:30:23,U800,LIA_MF801_1,PVHIGH,,L 00,MF-801 interface,78.2281,%
21:30:21,U400,PI_406,PVHIGH,OK,H 00,Pressure of overhead vapour to TT-405/DCS,71.997,KPa
21:30:10,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1144.32,Kg/Hr
21:30:03,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-711.732,Kg/Hr
21:29:59,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1005.16,Kg/Hr
21:29:52,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-682.828,Kg/Hr
21:29:48,U300,PC-202,OFFNRM,OK,U 00,PC-202 COMMON ALARM TO DCS,NORMAL,
21:29:47,U300,PC2_FIT124,PVHI,OK,H 00,COMP. SECONDARY SEAL GAS VENT FLOW,0.582,Nm3/hr
21:29:46,U300,PC-202,OFFNRM,,U 00,PC-202 COMMON ALARM TO DCS,ALARM,
21:29:46,U300,PC2_FIT124,PVHI,,H 00,COMP. SECONDARY SEAL GAS VENT FLOW,0.642,Nm3/hr
21:29:17,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1026.23,Kg/Hr
21:29:16,U800,LIA_MF801_1,PVHIGH,OK,L 00,MF-801 interface,64.2056,%
21:29:08,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-685.829,Kg/Hr
21:29:08,U800,LIA_MF801_1,PVHIGH,,L 00,MF-801 interface,81.85,%
21:28:50,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1019.36,Kg/Hr
21:28:50,U300,PC-202,OFFNRM,OK,U 00,PC-202 COMMON ALARM TO DCS,NORMAL,
21:28:50,U300,PC2_FIT124,PVHI,OK,H 00,COMP. SECONDARY SEAL GAS VENT FLOW,0.578,Nm3/hr
21:28:50,U800,LIA_MF801_1,PVHIGH,ACK,,MF-801 interface,,
21:28:48,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-718.757,Kg/Hr
21:28:43,U300,PC-202,OFFNRM,,U 00,PC-202 COMMON ALARM TO DCS,ALARM,
21:28:44,U300,PC2_FIT124,PVHI,,H 00,COMP. SECONDARY SEAL GAS VENT FLOW,0.64,Nm3/hr
21:28:40,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1013.85,Kg/Hr
21:28:34,U800,LIA_MF801_1,PVHIGH,OK,L 00,MF-801 interface,63.8941,%
21:28:31,U800,LIA_MF801_1,PVHIGH,,L 00,MF-801 interface,77.643,%
