Date/Time of Report: 3/18/2025 11:44:21,,,,,,,,
Requester: STN07 - Mngr,,,,,,,,
Filter Applied: Event Time: Before 2/23/2025 10:18:40 PM,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: VCMA,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
22:18:40,U300,PC2_FIT124,PVHI,,H 00,COMP. SECONDARY SEAL GAS VENT FLOW,0.683,Nm3/hr
22:18:40,U300,PC-202,OFFNRM,,U 00,PC-202 COMMON ALARM TO DCS,ALARM,
22:18:17,U800,PDIA_AS802_1,BAD PV,OK,L 00,Diff press AS 802,-19.6378,kpa
22:16:50,U300,PC2_FIT124,PVHI,OK,H 00,COMP. SECONDARY SEAL GAS VENT FLOW,0.544,Nm3/hr
22:16:49,U300,PC-202,OFFNRM,OK,U 00,PC-202 COMMON ALARM TO DCS,NORMAL,
22:16:44,U300,PC2_FIT124,PVHI,,H 00,COMP. SECONDARY SEAL GAS VENT FLOW,0.642,Nm3/hr
22:16:45,U300,PC-202,OFFNRM,,U 00,PC-202 COMMON ALARM TO DCS,ALARM,
22:16:42,U800,LICA_MF803_1,PVHIGH,OK,L 00,"MF-803 level. Interlock come from AA-MF803-1LL/HH ,output is zero in manu",68.9979,%
22:16:37,U800,LICA_MF803_1,PVHIGH,OK,L 00,"MF-803 level. Interlock come from AA-MF803-1LL/HH ,output is zero in manu",68.9993,%
22:16:17,AREA400_HTDC,FIC_4383,CHANGE,,,PIDA.SP,20043.9,Kg/h
22:16:15,AREA400_HTDC,FIC_4383,CHANGE,,,PIDA.SP,20212.2,Kg/h
22:16:14,AREA400_HTDC,FIC_4383,CHANGE,,,PIDA.SP,20380.5,Kg/h
22:16:01,U200,TIC_214,PVLOW,ACK,,Control temperature in column AS-203,,
22:15:49,U300,PC2_FIT124,PVHI,OK,H 00,COMP. SECONDARY SEAL GAS VENT FLOW,0.532,Nm3/hr
22:15:48,U300,PC-202,OFFNRM,OK,U 00,PC-202 COMMON ALARM TO DCS,NORMAL,
22:15:41,U300,PC2_FIT124,PVHI,,H 00,COMP. SECONDARY SEAL GAS VENT FLOW,0.613,Nm3/hr
22:15:42,U300,PC-202,OFFNRM,,U 00,PC-202 COMMON ALARM TO DCS,ALARM,
22:15:12,U200,TIC_214,PVLOW,,L 00,Control temperature in column AS-203,49.9722,*C
22:15:08,U800,PIC_5820,PVHIGH,ACK,,PC-820 pressure,,
22:15:05,U200,TI_1_31,PVLOW,ACK,,Temperature in sump of column AS-203,,
22:14:01,U800,LICA_AS802_1,PVHIGH,OK,L 00,Level of AS 802 sump,74.9115,%
22:12:32,U200,TI_1_31,PVLOW,,L 00,Temperature in sump of column AS-203,109.966,*C
22:11:30,AREA400_HTDC,FIC_4124,CHANGE,,,PIDA.SP,9297.54,Kg/h
22:11:26,AREA400_HTDC,FIC_4124,CHANGE,,,PIDA.SP,9284.08,Kg/h
22:11:25,AREA400_HTDC,FIC_4124,CHANGE,,,PIDA.SP,9270.62,Kg/h
22:11:24,AREA400_HTDC,FIC_4124,CHANGE,,,PIDA.SP,9257.15,Kg/h
22:11:07,U300,PC2_FIT124,PVHI,ACK,,COMP. SECONDARY SEAL GAS VENT FLOW,,
22:11:07,U300,PC2_FIT124,PVHI,SHELVE,,COMP. SECONDARY SEAL GAS VENT FLOW,0.631,Nm3/hr
